context,question,answer
"Điều 51 Bộ luật Dân sự 2015 quy định: Cá nhân có thể được giám hộ bởi nhiều người nếu điều đó cần thiết để bảo vệ quyền, lợi ích hợp pháp của người được giám hộ.","Theo Bộ luật Dân sự 2015, trong trường hợp nào cá nhân có thể được giám hộ bởi nhiều người?","Cá nhân có thể được giám hộ bởi nhiều người khi cần thiết để bảo vệ quyền, lợi ích hợp pháp của họ."
"Điều 52 Bộ luật Dân sự 2015 quy định: Cá nhân, pháp nhân có đủ điều kiện theo quy định của Bộ luật này có thể được cử hoặc chỉ định làm người giám hộ.","Ai có thể được cử làm người giám hộ theo Bộ luật Dân sự 2015?","Cá nhân hoặc pháp nhân có đủ điều kiện theo quy định của Bộ luật Dân sự 2015."
"Điều 53 Bộ luật Dân sự 2015 quy định: Người giám hộ phải là người có năng lực hành vi dân sự đầy đủ, trừ trường hợp cha, mẹ làm giám hộ cho con chưa thành niên hoặc người có khó khăn trong nhận thức, làm chủ hành vi.","Điều kiện năng lực hành vi dân sự của người giám hộ theo Bộ luật Dân sự 2015 là gì?","Người giám hộ phải có năng lực hành vi dân sự đầy đủ, trừ trường hợp cha, mẹ làm giám hộ cho con chưa thành niên hoặc người có khó khăn trong nhận thức."
"Điều 54 Bộ luật Dân sự 2015 quy định: Cá nhân, pháp nhân không được làm người giám hộ nếu thuộc một trong các trường hợp: đang bị truy cứu trách nhiệm hình sự, bị hạn chế quyền đối với con chưa thành niên, hoặc có hành vi xâm phạm quyền, lợi ích hợp pháp của người được giám hộ.","Theo Bộ luật Dân sự 2015, ai không được làm người giám hộ?","Người đang bị truy cứu trách nhiệm hình sự, bị hạn chế quyền đối với con chưa thành niên, hoặc có hành vi xâm phạm quyền, lợi ích hợp pháp của người được giám hộ."
"Điều 55 Bộ luật Dân sự 2015 quy định: Người giám hộ đương nhiên của người chưa thành niên là cha, mẹ; nếu cha, mẹ mất hoặc không đủ điều kiện thì ông, bà hoặc người thân thích khác có thể làm giám hộ.","Ai là người giám hộ đương nhiên của người chưa thành niên theo Bộ luật Dân sự 2015?","Cha, mẹ là người giám hộ đương nhiên; nếu cha, mẹ mất hoặc không đủ điều kiện thì ông, bà hoặc người thân thích khác có thể làm giám hộ."
"Điều 56 Bộ luật Dân sự 2015 quy định: Người giám hộ của người mất năng lực hành vi dân sự do Tòa án chỉ định, trừ trường hợp người đó đã chọn người giám hộ trước khi mất năng lực.","Theo Bộ luật Dân sự 2015, ai chỉ định người giám hộ cho người mất năng lực hành vi dân sự?","Tòa án chỉ định, trừ trường hợp người đó đã chọn người giám hộ trước khi mất năng lực."
"Điều 57 Bộ luật Dân sự 2015 quy định: Người giám hộ của người có khó khăn trong nhận thức, làm chủ hành vi được Tòa án chỉ định theo yêu cầu của người có quyền, lợi ích liên quan.","Ai có thể yêu cầu Tòa án chỉ định người giám hộ cho người có khó khăn trong nhận thức theo Bộ luật Dân sự 2015?","Người có quyền, lợi ích liên quan có thể yêu cầu Tòa án chỉ định."
"Điều 58 Bộ luật Dân sự 2015 quy định: Nhiệm vụ của người giám hộ bao gồm chăm sóc, giáo dục người chưa thành niên, quản lý tài sản và đại diện trong giao dịch dân sự của người được giám hộ.","Nhiệm vụ chính của người giám hộ theo Bộ luật Dân sự 2015 là gì?","Chăm sóc, giáo dục người chưa thành niên, quản lý tài sản và đại diện trong giao dịch dân sự."
"Điều 59 Bộ luật Dân sự 2015 quy định: Các giao dịch dân sự liên quan đến tài sản của người được giám hộ phải được sự đồng ý của người giám sát việc giám hộ, trừ trường hợp vì lợi ích của người được giám hộ.","Theo Bộ luật Dân sự 2015, giao dịch liên quan đến tài sản của người được giám hộ cần điều kiện gì?","Phải có sự đồng ý của người giám sát việc giám hộ, trừ trường hợp vì lợi ích của người được giám hộ."
"Điều 60 Bộ luật Dân sự 2015 quy định: Người giám hộ được thay đổi trong các trường hợp như không còn đủ điều kiện, vi phạm nghiêm trọng nghĩa vụ giám hộ, hoặc đề nghị thay đổi và có người khác nhận làm giám hộ.","Theo Bộ luật Dân sự 2015, trong trường hợp nào người giám hộ có thể bị thay đổi?","Khi không còn đủ điều kiện, vi phạm nghiêm trọng nghĩa vụ giám hộ, hoặc đề nghị thay đổi và có người khác nhận làm giám hộ."
"Điều 61 Bộ luật Dân sự 2015 quy định: Quyền và nghĩa vụ của người giám hộ chấm dứt khi người được giám hộ đủ 18 tuổi, khôi phục năng lực hành vi dân sự, hoặc người giám hộ chết.","Quyền và nghĩa vụ của người giám hộ chấm dứt khi nào theo Bộ luật Dân sự 2015?","Khi người được giám hộ đủ 18 tuổi, khôi phục năng lực hành vi dân sự, hoặc người giám hộ chết."
"Điều 62 Bộ luật Dân sự 2015 quy định: Người giám sát việc giám hộ có nhiệm vụ kiểm tra, giám sát hoạt động của người giám hộ để đảm bảo quyền, lợi ích hợp pháp của người được giám hộ.","Nhiệm vụ của người giám sát việc giám hộ theo Bộ luật Dân sự 2015 là gì?","Kiểm tra, giám sát hoạt động của người giám hộ để đảm bảo quyền, lợi ích hợp pháp của người được giám hộ."
"Điều 63 Bộ luật Dân sự 2015 quy định: Ủy ban nhân dân cấp xã có trách nhiệm giám sát việc giám hộ, chỉ định hoặc thay đổi người giám hộ trong trường hợp cần thiết.","Ai có trách nhiệm giám sát việc giám hộ theo Bộ luật Dân sự 2015?","Ủy ban nhân dân cấp xã."
