context,question,answer
"Điều 1 Luật Doanh nghiệp 2020 quy định: Luật này điều chỉnh việc thành lập, tổ chức, quản lý, hoạt động, tổ chức lại, giải thể và các hoạt động liên quan của doanh nghiệp, bao gồm doanh nghiệp tư nhân, công ty hợp danh, công ty trách nhiệm hữu hạn, công ty cổ phần.","Luật Doanh nghiệp 2020 điều chỉnh những hoạt động nào theo Điều 1?","Luật Doanh nghiệp 2020 điều chỉnh việc thành lập, tổ chức, quản lý, hoạt động, tổ chức lại, giải thể và các hoạt động liên quan của doanh nghiệp."
"Điều 2 Luật Doanh nghiệp 2020 quy định: Luật này áp dụng đối với doanh nghiệp, cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, quản lý và hoạt động của doanh nghiệp.","Luật Doanh nghiệp 2020 áp dụng cho những đối tượng nào theo Điều 2?","Luật Doanh nghiệp 2020 áp dụng cho doanh nghiệp, cơ quan, tổ chức, cá nhân liên quan đến thành lập, tổ chức, quản lý và hoạt động của doanh nghiệp."
"Điều 3 Luật Doanh nghiệp 2020 quy định: Doanh nghiệp là tổ chức có tên riêng, có tài sản, trụ sở giao dịch, được thành lập hoặc đăng ký thành lập theo quy định của pháp luật nhằm mục đích kinh doanh.","Doanh nghiệp được định nghĩa như thế nào theo Điều 3 Luật Doanh nghiệp 2020?","Doanh nghiệp là tổ chức có tên riêng, tài sản, trụ sở giao dịch, được thành lập hoặc đăng ký thành lập để kinh doanh."
"Điều 4 Luật Doanh nghiệp 2020 quy định: Nhà nước công nhận quyền tự do kinh doanh của cá nhân, tổ chức theo quy định của pháp luật và bảo đảm bình đẳng trước pháp luật giữa các doanh nghiệp.","Nhà nước công nhận quyền gì của cá nhân, tổ chức theo Điều 4 Luật Doanh nghiệp 2020?","Nhà nước công nhận quyền tự do kinh doanh và bảo đảm bình đẳng trước pháp luật giữa các doanh nghiệp."
"Điều 5 Luật Doanh nghiệp 2020 quy định: Doanh nghiệp có quyền tự chủ kinh doanh, lựa chọn ngành nghề, hình thức tổ chức, phương thức kinh doanh và chịu trách nhiệm vô hạn hoặc hữu hạn theo quy định của pháp luật.","Doanh nghiệp có quyền gì theo Điều 5 Luật Doanh nghiệp 2020?","Doanh nghiệp có quyền tự chủ kinh doanh, lựa chọn ngành nghề, hình thức tổ chức, phương thức kinh doanh và chịu trách nhiệm theo pháp luật."
"Điều 6 Luật Doanh nghiệp 2020 quy định: Doanh nghiệp phải tuân thủ pháp luật về hợp đồng, lao động, thuế, tài chính, bảo vệ môi trường và các quy định pháp luật khác có liên quan.","Doanh nghiệp có nghĩa vụ gì theo Điều 6 Luật Doanh nghiệp 2020?","Doanh nghiệp phải tuân thủ pháp luật về hợp đồng, lao động, thuế, tài chính, bảo vệ môi trường và các quy định pháp luật khác."
"Điều 7 Luật Doanh nghiệp 2020 quy định: Doanh nghiệp có quyền từ chối các yêu cầu cung cấp thông tin, tài liệu nếu yêu cầu đó không đúng quy định của pháp luật.","Doanh nghiệp có quyền gì khi bị yêu cầu cung cấp thông tin theo Điều 7 Luật Doanh nghiệp 2020?","Doanh nghiệp có quyền từ chối cung cấp thông tin, tài liệu nếu yêu cầu không đúng quy định của pháp luật."
"Điều 8 Luật Doanh nghiệp 2020 quy định: Các hành vi bị cấm trong hoạt động kinh doanh bao gồm kinh doanh ngành nghề cấm, gian lận trong đăng ký doanh nghiệp, và các hành vi vi phạm pháp luật khác.","Những hành vi nào bị cấm trong hoạt động kinh doanh theo Điều 8 Luật Doanh nghiệp 2020?","Các hành vi bị cấm bao gồm kinh doanh ngành nghề cấm, gian lận trong đăng ký doanh nghiệp, và các hành vi vi phạm pháp luật khác."
"Điều 9 Luật Doanh nghiệp 2020 quy định: Doanh nghiệp có quyền khiếu nại, tố cáo các hành vi vi phạm pháp luật của cơ quan, tổ chức, cá nhân liên quan đến hoạt động kinh doanh.","Doanh nghiệp có quyền gì khi gặp hành vi vi phạm pháp luật theo Điều 9 Luật Doanh nghiệp 2020?","Doanh nghiệp có quyền khiếu nại, tố cáo các hành vi vi phạm pháp luật liên quan đến hoạt động kinh doanh."
"Điều 10 Luật Doanh nghiệp 2020 quy định: Các loại hình doanh nghiệp bao gồm doanh nghiệp tư nhân, công ty hợp danh, công ty trách nhiệm hữu hạn, công ty cổ phần và các loại hình khác theo quy định của pháp luật.","Các loại hình doanh nghiệp được quy định tại Điều 10 Luật Doanh nghiệp 2020 là gì?","Các loại hình doanh nghiệp bao gồm doanh nghiệp tư nhân, công ty hợp danh, công ty trách nhiệm hữu hạn, công ty cổ phần và các loại hình khác."
