context,question,answer,context_id
Quyền bề mặt chấm dứt khi chủ thể có quyền bề mặt và chủ thể có quyền sử dụng đất là một.,Khi nào quyền bề mặt chấm dứt vì liên quan đến chủ thể có quyền sử dụng đất?,Quyền bề mặt chấm dứt khi chủ thể có quyền bề mặt và chủ thể có quyền sử dụng đất là một.,doc_0
"Quyền sở hữu được xác lập khi tạo thành tài sản mới do sáp nhập, trộn lẫn, chế biến.",Quyền sở hữu có được xác lập khi tài sản mới được chế biến không?,"Quyền sở hữu được xác lập khi tạo thành tài sản mới do sáp nhập, trộn lẫn, chế biến.",doc_1
"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác.",Hợp đồng hợp tác cần lưu ý gì khi xác định quyền và nghĩa vụ của các thành viên?,"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác.",doc_2
"Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng nhằm phục vụ nhu cầu sinh hoạt, tiêu dùng, sản xuất, kinh doanh và các mục đích khác không trái pháp luật.",Chủ sở hữu có quyền gì đối với tài sản thuộc sở hữu riêng?,"Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng nhằm phục vụ nhu cầu sinh hoạt, tiêu dùng, sản xuất, kinh doanh và các mục đích khác không trái pháp luật.",doc_3
"Người cố ý tố giác, báo tin giả cho lực lượng chức năng mà xâm phạm đến danh dự, nhân phẩm, uy tín của người khác thì có thể phải bồi thường nếu người bị thiệt hại có yêu cầu.",Báo tin giả cho lực lượng chức năng nhằm hạ uy tín của người khác thì có phải bồi thường?,"Người cố ý tố giác, báo tin giả cho lực lượng chức năng mà xâm phạm đến danh dự, nhân phẩm, uy tín của người khác thì có thể phải bồi thường nếu người bị thiệt hại có yêu cầu.",doc_4
Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi cho Ủy ban nhân dân cấp xã nơi cư trú của người bị tuyên bố là đã chết để ghi chú theo quy định của pháp luật về hộ tịch.,Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi đi đâu?,Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi cho Ủy ban nhân dân cấp xã nơi cư trú của người bị tuyên bố là đã chết để ghi chú theo quy định của pháp luật về hộ tịch.,doc_5
"Việc thực hiện công việc không có ủy quyền chấm dứt khi người thực hiện công việc không có ủy quyền chết, nếu là cá nhân hoặc chấm dứt tồn tại, nếu là pháp nhân.",Việc thực hiện công việc không có ủy quyền chấm dứt trong trường hợp nào liên quan đến cái chết hoặc sự chấm dứt tồn tại của người thực hiện công việc không có ủy quyền?,"Việc thực hiện công việc không có ủy quyền chấm dứt khi người thực hiện công việc không có ủy quyền chết, nếu là cá nhân hoặc chấm dứt tồn tại, nếu là pháp nhân.",doc_6
"Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.",Trường hợp nào người gây thiệt hại không phải chịu trách nhiệm bồi thường?,"Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.",doc_7
"Bên thuê khoán có thể tự mình sửa chữa, cải tạo tài sản thuê khoán, nếu có thỏa thuận và phải bảo toàn giá trị tài sản thuê khoán. Bên cho thuê khoán phải thanh toán cho bên thuê khoán chi phí hợp lý để sửa chữa, cải tạo tài sản thuê khoán theo thỏa thuận.","Bên cho thuê khoán có nghĩa vụ gì khi bên thuê khoán sửa chữa, cải tạo tài sản thuê khoán?","Bên thuê khoán có thể tự mình sửa chữa, cải tạo tài sản thuê khoán, nếu có thỏa thuận và phải bảo toàn giá trị tài sản thuê khoán. Bên cho thuê khoán phải thanh toán cho bên thuê khoán chi phí hợp lý để sửa chữa, cải tạo tài sản thuê khoán theo thỏa thuận.",doc_8
"Việc xác lập, thực hiện quan hệ dân sự liên quan đến quyền nhân thân của người bị tuyên bố mất tích, người đã chết phải được sự đồng ý của vợ, chồng hoặc con thành niên của người đó; trường hợp không có những người này thì phải được sự đồng ý của cha, mẹ của người bị tuyên bố mất tích, người đã chết, trừ trường hợp Bộ luật Dân sự, luật khác có liên quan quy định khác.",Việc xác lập quyền nhân thân của người bị tuyên bố mất tích cần ai đồng ý?,"Việc xác lập, thực hiện quan hệ dân sự liên quan đến quyền nhân thân của người bị tuyên bố mất tích, người đã chết phải được sự đồng ý của vợ, chồng hoặc con thành niên của người đó; trường hợp không có những người này thì phải được sự đồng ý của cha, mẹ của người bị tuyên bố mất tích, người đã chết, trừ trường hợp Bộ luật Dân sự, luật khác có liên quan quy định khác.",doc_9
Trường hợp có sự mâu thuẫn giữa ý chí chung của các bên với ngôn từ sử dụng trong hợp đồng thì ý chí chung của các bên được dùng để giải thích hợp đồng.,"Khi có sự mâu thuẫn giữa ý chí chung của các bên và ngôn từ trong hợp đồng, phải giải thích hợp đồng như thế nào?",Trường hợp có sự mâu thuẫn giữa ý chí chung của các bên với ngôn từ sử dụng trong hợp đồng thì ý chí chung của các bên được dùng để giải thích hợp đồng.,doc_10
