context,question,answer
"Điều 1 Bộ luật Dân sự 2015 quy định: Bộ luật này điều chỉnh các quan hệ dân sự trên cơ sở bình đẳng, tự do ý chí, độc lập về tài sản và tự chịu trách nhiệm.","Phạm vi điều chỉnh của Bộ luật Dân sự 2015 là gì?","Bộ luật Dân sự 2015 điều chỉnh các quan hệ dân sự trên cơ sở bình đẳng, tự do ý chí, độc lập về tài sản và tự chịu trách nhiệm."
"Điều 2 Bộ luật Dân sự 2015 quy định: Bộ luật Dân sự có nhiệm vụ bảo vệ quyền, lợi ích hợp pháp của cá nhân, pháp nhân, lợi ích của Nhà nước, lợi ích công cộng; đảm bảo bình đẳng giới và thúc đẩy phát triển kinh tế - xã hội.","Nhiệm vụ của Bộ luật Dân sự 2015 là gì?","Bảo vệ quyền, lợi ích hợp pháp của cá nhân, pháp nhân, lợi ích của Nhà nước, lợi ích công cộng; đảm bảo bình đẳng giới và thúc đẩy phát triển kinh tế - xã hội."
"Điều 3 Bộ luật Dân sự 2015 quy định các nguyên tắc cơ bản của pháp luật dân sự: bình đẳng, tự do, tự nguyện, thiện chí, trung thực, không xâm phạm lợi ích quốc gia, dân tộc, quyền và lợi ích hợp pháp của người khác.","Nguyên tắc cơ bản của pháp luật dân sự theo Điều 3 là gì?","Bình đẳng, tự do, tự nguyện, thiện chí, trung thực, không xâm phạm lợi ích quốc gia, dân tộc, quyền và lợi ích hợp pháp của người khác."
"Điều 4 Bộ luật Dân sự 2015 quy định: Quyền dân sự được tôn trọng và bảo vệ theo quy định của pháp luật. Quyền dân sự chỉ bị hạn chế khi luật có quy định.","Quyền dân sự được bảo vệ như thế nào theo Điều 4?","Quyền dân sự được tôn trọng và bảo vệ theo quy định của pháp luật, chỉ bị hạn chế khi luật có quy định."
"Điều 5 Bộ luật Dân sự 2015 quy định: Trong trường hợp luật không quy định hoặc các bên không có thỏa thuận, có thể áp dụng tập quán nếu không trái với nguyên tắc cơ bản của pháp luật dân sự.","Khi nào có thể áp dụng tập quán theo Điều 5?","Tập quán được áp dụng khi luật không quy định hoặc các bên không có thỏa thuận, và không trái với nguyên tắc cơ bản của pháp luật dân sự."
"Điều 6 Bộ luật Dân sự 2015 quy định: Trong trường hợp không thể áp dụng tập quán, luật hoặc thỏa thuận, có thể áp dụng tương tự pháp luật.","Tương tự pháp luật được áp dụng khi nào theo Điều 6?","Tương tự pháp luật được áp dụng khi không thể áp dụng tập quán, luật hoặc thỏa thuận."
"Điều 7 Bộ luật Dân sự 2015 quy định: Quan hệ dân sự có yếu tố nước ngoài được áp dụng theo điều ước quốc tế mà Việt Nam là thành viên hoặc luật Việt Nam nếu không trái với điều ước quốc tế.","Quan hệ dân sự có yếu tố nước ngoài được điều chỉnh như thế nào theo Điều 7?","Theo điều ước quốc tế mà Việt Nam là thành viên hoặc luật Việt Nam nếu không trái với điều ước quốc tế."
"Điều 8 Bộ luật Dân sự 2015 quy định: Quyền dân sự được bảo vệ bởi tòa án hoặc cơ quan có thẩm quyền; nếu bị xâm phạm, cá nhân, pháp nhân có quyền yêu cầu bảo vệ quyền của mình.","Ai có quyền bảo vệ quyền dân sự theo Điều 8?","Tòa án hoặc cơ quan có thẩm quyền bảo vệ quyền dân sự; cá nhân, pháp nhân có quyền yêu cầu bảo vệ quyền của mình."
"Điều 9 Bộ luật Dân sự 2015 quy định: Cá nhân, pháp nhân phải tôn trọng quyền dân sự của người khác và không được lạm dụng quyền dân sự gây thiệt hại cho người khác.","Điều 9 quy định gì về việc tôn trọng quyền dân sự?","Cá nhân, pháp nhân phải tôn trọng quyền dân sự của người khác và không được lạm dụng quyền dân sự gây thiệt hại."
"Điều 10 Bộ luật Dân sự 2015 quy định: Người có quyền dân sự có thể tự bảo vệ quyền của mình theo các phương thức do pháp luật quy định hoặc yêu cầu cơ quan có thẩm quyền bảo vệ.","Cá nhân có quyền dân sự tự bảo vệ bằng cách nào theo Điều 10?","Tự bảo vệ theo phương thức do pháp luật quy định hoặc yêu cầu cơ quan có thẩm quyền bảo vệ."
"Điều 11 Bộ luật Dân sự 2015 quy định các phương thức bảo vệ quyền dân sự, bao gồm: công nhận, tôn trọng, bảo vệ quyền; buộc chấm dứt hành vi vi phạm; buộc bồi thường thiệt hại.","Các phương thức bảo vệ quyền dân sự theo Điều 11 là gì?","Công nhận, tôn trọng, bảo vệ quyền; buộc chấm dứt hành vi vi phạm; buộc bồi thường thiệt hại."
"Điều 12 Bộ luật Dân sự 2015 quy định: Quyền dân sự bị hạn chế trong các trường hợp do pháp luật quy định hoặc do thỏa thuận giữa các bên, trừ trường hợp trái với nguyên tắc cơ bản của pháp luật dân sự.","Khi nào quyền dân sự bị hạn chế theo Điều 12?","Quyền dân sự bị hạn chế theo quy định của pháp luật hoặc thỏa thuận giữa các bên, trừ khi trái với nguyên tắc cơ bản của pháp luật dân sự."
"Điều 13 Bộ luật Dân sự 2015 quy định: Cá nhân, pháp nhân chịu trách nhiệm dân sự về hành vi vi phạm quyền dân sự của người khác, bao gồm cả hành vi do người khác thực hiện theo ủy quyền.","Ai chịu trách nhiệm dân sự theo Điều 13?","Cá nhân, pháp nhân chịu trách nhiệm dân sự về hành vi vi phạm quyền dân sự, kể cả hành vi do người được ủy quyền thực hiện."
"Điều 14 Bộ luật Dân sự 2015 quy định: Tòa án không từ chối giải quyết vụ việc dân sự vì lý do chưa có điều luật để áp dụng; trong trường hợp này, áp dụng Điều 5 và Điều 6.","Tòa án xử lý vụ việc dân sự không có điều luật áp dụng như thế nào theo Điều 14?","Tòa án không từ chối giải quyết, áp dụng tập quán hoặc tương tự pháp luật theo Điều 5 và Điều 6."
"Điều 15 Bộ luật Dân sự 2015 quy định: Tòa án có quyền hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền khi giải quyết yêu cầu bảo vệ quyền dân sự.","Tòa án có quyền gì khi giải quyết yêu cầu bảo vệ quyền dân sự theo Điều 15?","Tòa án có quyền hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền."
"Điều 16 Bộ luật Dân sự 2015 quy định: Mọi cá nhân đều có quyền nhân thân, bao gồm quyền về danh dự, nhân phẩm, uy tín, quyền sống, quyền về thân thể, sức khỏe.","Quyền nhân thân của cá nhân bao gồm những gì theo Điều 16?","Quyền về danh dự, nhân phẩm, uy tín, quyền sống, quyền về thân thể, sức khỏe."
"Điều 17 Bộ luật Dân sự 2015 quy định: Quyền nhân thân được bảo vệ theo pháp luật, trừ trường hợp pháp luật có quy định khác.","Quyền nhân thân được bảo vệ như thế nào theo Điều 17?","Quyền nhân thân được bảo vệ theo pháp luật, trừ trường hợp pháp luật có quy định khác."
