context,question,answer
"Điều 301 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự là việc mà theo đó, một hoặc nhiều bên phải thực hiện hoặc không được thực hiện một hành vi nhất định để bảo đảm quyền lợi của bên có quyền.","Nghĩa vụ dân sự được định nghĩa như thế nào theo Điều 301?","Nghĩa vụ dân sự là việc một hoặc nhiều bên phải thực hiện hoặc không được thực hiện một hành vi để bảo đảm quyền lợi của bên có quyền."
"Điều 302 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự phát sinh từ hợp đồng, hành vi pháp lý đơn phương, hành vi trái pháp luật, hoặc các căn cứ khác do pháp luật quy định.","Nghĩa vụ dân sự phát sinh từ những căn cứ nào theo Điều 302?","Nghĩa vụ dân sự phát sinh từ hợp đồng, hành vi pháp lý đơn phương, hành vi trái pháp luật, hoặc các căn cứ khác do pháp luật quy định."
"Điều 303 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự phải được thực hiện đúng nội dung, thời hạn, địa điểm và phương thức đã thỏa thuận hoặc pháp luật quy định.","Nghĩa vụ dân sự phải được thực hiện như thế nào theo Điều 303?","Nghĩa vụ dân sự phải được thực hiện đúng nội dung, thời hạn, địa điểm và phương thức đã thỏa thuận hoặc pháp luật quy định."
"Điều 304 Bộ luật Dân sự 2015 quy định: Bên có nghĩa vụ phải chịu trách nhiệm về việc không thực hiện hoặc thực hiện không đúng nghĩa vụ dân sự, trừ trường hợp pháp luật có quy định khác.","Ai chịu trách nhiệm khi không thực hiện nghĩa vụ dân sự theo Điều 304?","Bên có nghĩa vụ phải chịu trách nhiệm khi không thực hiện hoặc thực hiện không đúng nghĩa vụ, trừ khi pháp luật có quy định khác."
"Điều 305 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự không thể chuyển giao, trừ trường hợp các bên có thỏa thuận hoặc pháp luật có quy định khác.","Nghĩa vụ dân sự có thể chuyển giao khi nào theo Điều 305?","Nghĩa vụ dân sự không thể chuyển giao, trừ khi các bên có thỏa thuận hoặc pháp luật có quy định khác."
"Điều 306 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự chấm dứt khi đã được thực hiện đầy đủ, các bên thỏa thuận chấm dứt, hoặc theo quy định của pháp luật.","Nghĩa vụ dân sự chấm dứt trong những trường hợp nào theo Điều 306?","Nghĩa vụ dân sự chấm dứt khi được thực hiện đầy đủ, các bên thỏa thuận chấm dứt, hoặc theo quy định của pháp luật."
"Điều 307 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự được thực hiện đồng thời là trường hợp các bên cùng phải thực hiện nghĩa vụ của mình tại cùng một thời điểm.","Nghĩa vụ dân sự được thực hiện đồng thời là gì theo Điều 307?","Nghĩa vụ dân sự được thực hiện đồng thời là khi các bên cùng thực hiện nghĩa vụ tại cùng một thời điểm."
"Điều 308 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự được thực hiện từng phần khi các bên thỏa thuận hoặc pháp luật cho phép thực hiện nghĩa vụ thành nhiều phần.","Nghĩa vụ dân sự được thực hiện từng phần khi nào theo Điều 308?","Nghĩa vụ dân sự được thực hiện từng phần khi các bên thỏa thuận hoặc pháp luật cho phép."
"Điều 309 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự liên đới là nghĩa vụ mà nhiều bên cùng phải thực hiện và bên có quyền có thể yêu cầu bất kỳ bên nào thực hiện toàn bộ nghĩa vụ.","Nghĩa vụ dân sự liên đới được định nghĩa như thế nào theo Điều 309?","Nghĩa vụ dân sự liên đới là nghĩa vụ mà nhiều bên cùng thực hiện và bên có quyền có thể yêu cầu bất kỳ bên nào thực hiện toàn bộ."
"Điều 310 Bộ luật Dân sự 2015 quy định: Bên có quyền trong nghĩa vụ liên đới có thể yêu cầu bất kỳ bên nào trong số các bên có nghĩa vụ thực hiện toàn bộ nghĩa vụ.","Bên có quyền trong nghĩa vụ liên đới có quyền gì theo Điều 310?","Bên có quyền có thể yêu cầu bất kỳ bên nào trong số các bên có nghĩa vụ thực hiện toàn bộ nghĩa vụ."
