context,question,answer
"Thỏa thuận bảo đảm bằng tín chấp phải cụ thể về số tiền, mục đích, thời hạn vay, lãi suất, quyền, nghĩa vụ và trách nhiệm của người vay, tổ chức tín dụng cho vay và tổ chức chính trị - xã hội bảo đảm bằng tín chấp.",Thỏa thuận bảo đảm bằng tín chấp cần bao gồm những thông tin gì?,"Thỏa thuận bảo đảm bằng tín chấp phải cụ thể về số tiền, mục đích, thời hạn vay, lãi suất, quyền, nghĩa vụ và trách nhiệm của người vay, tổ chức tín dụng cho vay và tổ chức chính trị - xã hội bảo đảm bằng tín chấp."
Quyền bề mặt chấm dứt khi chủ thể có quyền bề mặt và chủ thể có quyền sử dụng đất là một.,Khi nào quyền bề mặt chấm dứt vì liên quan đến chủ thể có quyền sử dụng đất?,Quyền bề mặt chấm dứt khi chủ thể có quyền bề mặt và chủ thể có quyền sử dụng đất là một.
Cầm cố tài sản là việc một bên (sau đây gọi là bên cầm cố) giao tài sản thuộc quyền sở hữu của mình cho bên kia (sau đây gọi là bên nhận cầm cố) để bảo đảm thực hiện nghĩa vụ.,Cầm cố tài sản là gì theo Điều 309 của Bộ luật Dân sự?,Cầm cố tài sản là việc một bên (sau đây gọi là bên cầm cố) giao tài sản thuộc quyền sở hữu của mình cho bên kia (sau đây gọi là bên nhận cầm cố) để bảo đảm thực hiện nghĩa vụ.
"Quyền sở hữu được xác lập khi tạo thành tài sản mới do sáp nhập, trộn lẫn, chế biến.",Quyền sở hữu có được xác lập khi tài sản mới được chế biến không?,"Quyền sở hữu được xác lập khi tạo thành tài sản mới do sáp nhập, trộn lẫn, chế biến."
"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác.",Hợp đồng hợp tác cần lưu ý gì khi xác định quyền và nghĩa vụ của các thành viên?,"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác."
"Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng nhằm phục vụ nhu cầu sinh hoạt, tiêu dùng, sản xuất, kinh doanh và các mục đích khác không trái pháp luật.",Chủ sở hữu có quyền gì đối với tài sản thuộc sở hữu riêng?,"Chủ sở hữu có quyền chiếm hữu, sử dụng, định đoạt tài sản thuộc sở hữu riêng nhằm phục vụ nhu cầu sinh hoạt, tiêu dùng, sản xuất, kinh doanh và các mục đích khác không trái pháp luật."
"Người cố ý tố giác, báo tin giả cho lực lượng chức năng mà xâm phạm đến danh dự, nhân phẩm, uy tín của người khác thì có thể phải bồi thường nếu người bị thiệt hại có yêu cầu.",Báo tin giả cho lực lượng chức năng nhằm hạ uy tín của người khác thì có phải bồi thường?,"Người cố ý tố giác, báo tin giả cho lực lượng chức năng mà xâm phạm đến danh dự, nhân phẩm, uy tín của người khác thì có thể phải bồi thường nếu người bị thiệt hại có yêu cầu."
Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi cho Ủy ban nhân dân cấp xã nơi cư trú của người bị tuyên bố là đã chết để ghi chú theo quy định của pháp luật về hộ tịch.,Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi đi đâu?,Quyết định của Tòa án hủy bỏ quyết định tuyên bố một người là đã chết phải được gửi cho Ủy ban nhân dân cấp xã nơi cư trú của người bị tuyên bố là đã chết để ghi chú theo quy định của pháp luật về hộ tịch.
"Việc thực hiện công việc không có ủy quyền chấm dứt khi người thực hiện công việc không có ủy quyền chết, nếu là cá nhân hoặc chấm dứt tồn tại, nếu là pháp nhân.",Việc thực hiện công việc không có ủy quyền chấm dứt trong trường hợp nào liên quan đến cái chết hoặc sự chấm dứt tồn tại của người thực hiện công việc không có ủy quyền?,"Việc thực hiện công việc không có ủy quyền chấm dứt khi người thực hiện công việc không có ủy quyền chết, nếu là cá nhân hoặc chấm dứt tồn tại, nếu là pháp nhân."
"Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác.",Trường hợp nào người gây thiệt hại không phải chịu trách nhiệm bồi thường?,"Người gây thiệt hại không phải chịu trách nhiệm bồi thường thiệt hại trong trường hợp thiệt hại phát sinh là do sự kiện bất khả kháng hoặc hoàn toàn do lỗi của bên bị thiệt hại, trừ trường hợp có thỏa thuận khác hoặc luật có quy định khác."
