context,question,answer
"Điều 401 Bộ luật Dân sự 2015 quy định: Hợp đồng mua bán tài sản là hợp đồng mà bên bán có nghĩa vụ chuyển giao tài sản cho bên mua và nhận tiền, còn bên mua có nghĩa vụ nhận tài sản và trả tiền cho bên bán.","Hợp đồng mua bán tài sản là gì theo Điều 401 Bộ luật Dân sự 2015?","Hợp đồng mua bán tài sản là hợp đồng mà bên bán chuyển giao tài sản và nhận tiền, bên mua nhận tài sản và trả tiền."
"Điều 402 Bộ luật Dân sự 2015 quy định: Tài sản trong hợp đồng mua bán phải là tài sản mà pháp luật cho phép giao dịch.","Tài sản trong hợp đồng mua bán phải đáp ứng điều kiện gì theo Điều 402 Bộ luật Dân sự 2015?","Tài sản trong hợp đồng mua bán phải là tài sản mà pháp luật cho phép giao dịch."
"Điều 403 Bộ luật Dân sự 2015 quy định: Giá cả trong hợp đồng mua bán do các bên thỏa thuận hoặc do cơ quan nhà nước có thẩm quyền quy định; nếu không có thỏa thuận, giá cả được xác định theo giá thị trường tại thời điểm và địa điểm giao kết hợp đồng.","Giá cả trong hợp đồng mua bán được xác định như thế nào theo Điều 403 Bộ luật Dân sự 2015?","Giá cả trong hợp đồng mua bán do các bên thỏa thuận, hoặc theo quy định của cơ quan nhà nước, nếu không có thỏa thuận thì theo giá thị trường tại thời điểm và địa điểm giao kết."
"Điều 404 Bộ luật Dân sự 2015 quy định: Bên bán chịu chi phí liên quan đến việc chuyển giao tài sản, trừ trường hợp các bên có thỏa thuận khác hoặc pháp luật có quy định khác.","Ai chịu chi phí chuyển giao tài sản trong hợp đồng mua bán theo Điều 404 Bộ luật Dân sự 2015?","Bên bán chịu chi phí chuyển giao tài sản, trừ khi các bên thỏa thuận khác hoặc pháp luật quy định khác."
"Điều 405 Bộ luật Dân sự 2015 quy định: Bên mua chịu chi phí nhận tài sản, trừ trường hợp các bên có thỏa thuận khác hoặc pháp luật có quy định khác.","Ai chịu chi phí nhận tài sản trong hợp đồng mua bán theo Điều 405 Bộ luật Dân sự 2015?","Bên mua chịu chi phí nhận tài sản, trừ khi các bên thỏa thuận khác hoặc pháp luật quy định khác."
"Điều 406 Bộ luật Dân sự 2015 quy định: Bên bán phải giao tài sản đúng số lượng, chất lượng, chủng loại, và thời điểm đã thỏa thuận trong hợp đồng.","Bên bán có nghĩa vụ gì về tài sản trong hợp đồng mua bán theo Điều 406 Bộ luật Dân sự 2015?","Bên bán phải giao tài sản đúng số lượng, chất lượng, chủng loại, và thời điểm đã thỏa thuận."
"Điều 407 Bộ luật Dân sự 2015 quy định: Bên bán phải bảo đảm tài sản bán không có tranh chấp về quyền sở hữu, quyền sử dụng hoặc quyền khác, trừ trường hợp bên mua biết và chấp nhận tranh chấp đó.","Bên bán phải bảo đảm gì về tài sản bán theo Điều 407 Bộ luật Dân sự 2015?","Bên bán phải bảo đảm tài sản không có tranh chấp về quyền sở hữu, quyền sử dụng, trừ khi bên mua biết và chấp nhận."
"Điều 408 Bộ luật Dân sự 2015 quy định: Bên bán phải cung cấp thông tin cần thiết về tài sản và hướng dẫn sử dụng tài sản nếu có thỏa thuận hoặc pháp luật có quy định.","Bên bán có nghĩa vụ gì về thông tin tài sản theo Điều 408 Bộ luật Dân sự 2015?","Bên bán phải cung cấp thông tin cần thiết và hướng dẫn sử dụng tài sản nếu có thỏa thuận hoặc pháp luật quy định."
"Điều 409 Bộ luật Dân sự 2015 quy định: Bên mua có quyền yêu cầu bên bán sửa chữa, thay thế tài sản hoặc bồi thường thiệt hại nếu tài sản không đúng chất lượng, số lượng hoặc chủng loại.","Bên mua có quyền gì nếu tài sản không đúng chất lượng theo Điều 409 Bộ luật Dân sự 2015?","Bên mua có quyền yêu cầu sửa chữa, thay thế tài sản hoặc bồi thường thiệt hại nếu tài sản không đúng chất lượng, số lượng hoặc chủng loại."
"Điều 410 Bộ luật Dân sự 2015 quy định: Bên bán chịu trách nhiệm bảo hành tài sản nếu có thỏa thuận hoặc pháp luật quy định về bảo hành.","Ai chịu trách nhiệm bảo hành tài sản trong hợp đồng mua bán theo Điều 410 Bộ luật Dân sự 2015?","Bên bán chịu trách nhiệm bảo hành tài sản nếu có thỏa thuận hoặc pháp luật quy định."
