context,question,answer
"Điều 351 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý cản trở hoạt động tố tụng hình sự hoặc hành chính bằng cách dùng vũ lực, đe dọa, hoặc các thủ đoạn khác thì bị phạt tù từ 1 năm đến 7 năm.","Hành vi cản trở hoạt động tố tụng bị phạt như thế nào theo Điều 351?","Cố ý cản trở hoạt động tố tụng bằng vũ lực, đe dọa hoặc thủ đoạn khác bị phạt tù từ 1 năm đến 7 năm."
"Điều 352 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cung cấp hoặc sử dụng thông tin, tài liệu giả trong tố tụng hình sự, dân sự, hành chính để cản trở việc giải quyết vụ án thì bị phạt tù từ 1 năm đến 5 năm.","Hành vi cung cấp tài liệu giả trong tố tụng bị phạt như thế nào?","Cung cấp hoặc sử dụng tài liệu giả trong tố tụng để cản trở giải quyết vụ án bị phạt tù từ 1 năm đến 5 năm."
"Điều 353 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý không thi hành bản án, quyết định của Tòa án đã có hiệu lực pháp luật mà không thuộc trường hợp miễn trừ thì bị phạt tù từ 6 tháng đến 3 năm.","Tội không thi hành bản án bị phạt như thế nào?","Không thi hành bản án, quyết định của Tòa án đã có hiệu lực bị phạt tù từ 6 tháng đến 3 năm."
"Điều 354 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý che giấu tội phạm, trừ trường hợp người thân thích của người phạm tội, thì bị phạt tù từ 6 tháng đến 5 năm.","Hành vi che giấu tội phạm bị phạt như thế nào?","Cố ý che giấu tội phạm, trừ người thân thích, bị phạt tù từ 6 tháng đến 5 năm."
"Điều 355 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào không tố giác tội phạm, trừ trường hợp người thân thích hoặc thuộc trường hợp miễn trừ, thì bị phạt tù từ 6 tháng đến 3 năm.","Tội không tố giác tội phạm bị phạt như thế nào?","Không tố giác tội phạm, trừ người thân thích hoặc trường hợp miễn trừ, bị phạt tù từ 6 tháng đến 3 năm."
"Điều 356 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào làm sai lệch chứng cứ, tài liệu trong quá trình điều tra, truy tố, xét xử thì bị phạt tù từ 1 năm đến 7 năm.","Hành vi làm sai lệch chứng cứ bị phạt như thế nào?","Làm sai lệch chứng cứ, tài liệu trong quá trình tố tụng bị phạt tù từ 1 năm đến 7 năm."
"Điều 357 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý khai báo gian dối hoặc cung cấp thông tin sai sự thật trong tố tụng thì bị phạt tù từ 3 tháng đến 2 năm.","Tội khai báo gian dối bị phạt như thế nào?","Cố ý khai báo gian dối hoặc cung cấp thông tin sai sự thật trong tố tụng bị phạt tù từ 3 tháng đến 2 năm."
"Điều 358 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào từ chối khai báo hoặc cố ý khai báo không đúng sự thật khi làm chứng thì bị phạt tù từ 3 tháng đến 3 năm.","Hành vi từ chối khai báo khi làm chứng bị phạt như thế nào?","Từ chối khai báo hoặc khai báo không đúng sự thật khi làm chứng bị phạt tù từ 3 tháng đến 3 năm."
"Điều 359 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào đe dọa, khống chế hoặc mua chuộc người làm chứng, giám định viên, hoặc phiên dịch viên để họ khai báo sai sự thật thì bị phạt tù từ 1 năm đến 7 năm.","Hành vi mua chuộc người làm chứng bị phạt như thế nào?","Đe dọa, khống chế hoặc mua chuộc người làm chứng, giám định viên, phiên dịch viên bị phạt tù từ 1 năm đến 7 năm."
"Điều 360 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý dịch sai hoặc cung cấp bản dịch không đúng sự thật trong tố tụng thì bị phạt tù từ 1 năm đến 3 năm.","Tội dịch sai trong tố tụng bị phạt như thế nào?","Cố ý dịch sai hoặc cung cấp bản dịch không đúng sự thật trong tố tụng bị phạt tù từ 1 năm đến 3 năm."
"Điều 361 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý đưa ra kết luận giám định sai sự thật thì bị phạt tù từ 1 năm đến 5 năm.","Hành vi đưa ra kết luận giám định sai bị phạt như thế nào?","Cố ý đưa ra kết luận giám định sai sự thật bị phạt tù từ 1 năm đến 5 năm."
"Điều 362 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cưỡng ép người khác khai báo sai sự thật hoặc cung cấp thông tin sai lệch trong tố tụng thì bị phạt tù từ 1 năm đến 7 năm.","Hành vi cưỡng ép khai báo sai trong tố tụng bị phạt như thế nào?","Cưỡng ép người khác khai báo sai hoặc cung cấp thông tin sai lệch bị phạt tù từ 1 năm đến 7 năm."
"Điều 363 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý báo cáo sai sự thật hoặc cung cấp thông tin sai lệch để làm sai lệch kết quả điều tra thì bị phạt tù từ 6 tháng đến 3 năm.","Tội báo cáo sai sự thật trong điều tra bị phạt như thế nào?","Cố ý báo cáo sai sự thật hoặc cung cấp thông tin sai lệch để làm sai lệch điều tra bị phạt tù từ 6 tháng đến 3 năm."
"Điều 364 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào lợi dụng chức vụ, quyền hạn ra quyết định trái pháp luật gây thiệt hại nghiêm trọng thì bị phạt tù từ 1 năm đến 7 năm.","Hành vi ra quyết định trái pháp luật bị phạt như thế nào?","Lợi dụng chức vụ, quyền hạn ra quyết định trái pháp luật gây thiệt hại nghiêm trọng bị phạt tù từ 1 năm đến 7 năm."
"Điều 365 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào lợi dụng chức vụ, quyền hạn cản trở hoạt động tư pháp thì bị phạt tù từ 1 năm đến 5 năm.","Tội cản trở hoạt động tư pháp bị phạt như thế nào?","Lợi dụng chức vụ, quyền hạn cản trở hoạt động tư pháp bị phạt tù từ 1 năm đến 5 năm."
"Điều 366 Bộ luật Hình sự 2015 (sửa đổi 2017) quy định: Người nào cố ý để người bị tạm giữ, tạm giam trốn thì bị phạt tù từ 2 năm đến 7 năm.","Hành vi để người bị tạm giữ, tạm giam trốn bị phạt như thế nào?","Cố ý để người bị tạm giữ, tạm giam trốn bị phạt tù từ 2 năm đến 7 năm."
